# release=release/3.7.x	openai_frontier=6c96454f2fdec52b433937e76e07a7903f33e07d	openai_head=f797708c0626e5f9840ca5b0a98790e2c7cb09ad	meta_frontier=3e55adf1b66344259203671e2cf2d55921a5e42b	main_head=2054eb494623fbd1622c6c3d1ba18236151b97e2
#source	present	class	sha	subject
openai	new	revert	5483c9b95	[Release] Revert enabling use_async_copy by default (revert https://github.com/triton-lang/triton/pull/9087) (#9445)
openai	new	other	731540ba9	[Backend] Bump to llvm/llvm-project@979132a (#9431) (#9477)
openai	new	amd	fce6b8da7	[AMD] Disable True16 for assembler on gfx11 (#9447) (#9476)
openai	new	amd	5d72932fc	[AMD][BACKEND] Cherry pick pr 9487 to rel 3.7 (#9502)
openai	new	revert	3dfa9e303	[Revert][BACKEND] Create llvm.store when we do not need predication  (#9601)
openai	new	other	2c3dac9db	[CUDA][rel/3.7] Cherrypick two commits that are necessary for PyTorch CUDA Binaries especially for GB300/Spark/THOR (#9621)
openai	new	revert	07bcc9a68	Revert "[Revert][BACKEND] Create llvm.store when we do not need predication " (#9672)
openai	new	revert	9be634c2e	Revert "[AMD][BACKEND] Cherry pick pr 9487 to rel 3.7" (#9673)
openai	new	amd	151e3e2f3	Reland "[AMD][BACKEND] Cherry pick pr 9487 to rel 3.7" (#9675)
openai	new	fix	3bed8f599	Fix: emit a deprecation warning for make_block_ptr (#9667) (#9738)
openai	new	revert	7e48d5dfc	[Nvidia] Revert the PR https://github.com/triton-lang/triton/pull/7067 for working around a ptxas bug on SM89 (#9756)
openai	new	plumbing	9c288bc5e	Advance version 3.6.0->3.7.0 (#9885) (#9888)
openai	new	revert	282c8251e	Revert "[Backend] Bump to llvm/llvm-project@979132a (#9431) (#9477)" (#9942)
openai	new	amd	64b87cf81	[release/3.7.x][AMD][BACKEND] Fix RangeAnalysis tripCount calculation (#9383) (#9944)
openai	new	amd	2f5ab8c45	[release/3.7.x][AMD] Fix OOM in pipelining with padded layout async copy on GFX950 (#9442) (#9945)
openai	new	amd	74d18477b	[release/3.7.x][AMD] Fix BlockPingpong for non-MFMA dot (#9618) (#9948)
openai	new	plumbing	3a64615a5	[release/3.7.x] Enable TRITON_EXT_ENABLED for Wheels Build (#9935) (#9959)
openai	new	amd	98a34c588	[release/3.7.x] [AMD] CanonicalizePointers: Handle different base pointers and offsets (#9541) (#9950)
openai	new	other	b4e20bbe5	release/3.7.x (#9965)
openai	new	amd	6520a28dc	[release/3.7.x][AMD][BACKEND] Fix mixed types MFMA fp8 instruction selection (#9567) (#9946)
openai	new	amd	88b227e23	[release/3.7.x][AMD][BACKEND] Fix mixed FP8 types promotion for WMMA (#9581) (#9947)
openai	new	plumbing	b7fa781f9	[release/3.7.x] Cherry pick "Split RemoveLayoutConversions cleanup so scf.if non-convergence is non fatal" (#10174)
openai	new	plumbing	8a1faba46	[release/3.7.x][CI] Reduce wheel size and pin DOCKER_API_VERSION (#10244)
openai	new	plumbing	ecbbf0e03	[CD][Release Only] Increase timeout for Release wheels (#10250)
openai	new	plumbing	5f3f125e8	[release 3.7] Release Triton to pypi (#10251)
openai	new	plumbing	9c610c781	[release/3.7.x] Include examples/ in source distribution (#10350)
openai	new	plumbing	6970b11e4	[Release-only] Bump version to 3.7.1 release, turn off publishing to pypi, and cherry-pick wheels.yml cibuildwheel fix (#10547) (#10546)
openai	new	other	5d6048aa0	[Release 3.7.x] Cherry-pick "[FenceAsync] Add async read dependencies to the pass (#9610)" (#10537)
openai	new	plumbing	f797708c0	[Release/3.7] Pin LLVM to triton-lang/llvm-project@1f126a6 and re-enable PyPI publishing (#10631)
meta-main	new	other	0dbb1428e	[AutoWS] Support dynamic persistent GEMM in AutoWS (#1879)
meta-main	new	fix	000100c2c	[AutoWS][FA] Fix non-deterministic SIGSEGV in insertAsyncComm channel-loop detection (#1895)
meta-main	new	other	65e0ed083	sched2tlx: case4 FA backward end-to-end + intra-WG barrier completeness (#1925)
meta-main	new	amd	ddba7515f	[triton][beta] [AMD] Decompose+modulo scheduling driver (gated, uses AMDLatencyModel) (#1884)
meta-main	new	amd	d3be00c80	[triton][beta] [AMD][TTGIR-SCHED] APPLY: M/N tt.dot decomposition + sched.barrier (+4-5%) (#1937)
meta-main	new	other	a49ceba46	[BE] [AutoWS] Collapse dump-intermediate-steps boilerplate (#1938)
meta-main	new	fix	ed73fee96	[AutoWS][FA] early-TMA staging slot/reuse (T277224987) + fwd-persistent deadlock fix (#1864)
meta-main	new	other	e1bb0ee29	[torchTLX] move codebase to triton-beta / fbtriton (#1926)
meta-main	new	other	8cb621e52	[AutoWS] Adjust failing lit tests for fbtriton (#1945)
meta-main	new	other	d1adc6a52	[sched2tlx] case1 GEMM: build hand-written TMA descriptors on-device (#1943)
meta-main	new	other	c32d385a6	Add README for torchTLX (#1949)
meta-main	new	other	26ef36914	[BE] [AutoWS] Cleanup doTMAStoreWaitReorder API (#1936)
meta-main	new	other	be5e1fba8	[AutoWS] [CLC] Add support for CLC APIs in Triton (#1881)
meta-main	new	other	b21d29c46	[TLX] Add tlx.dump_layout compile-time layout diagnostic (#1955) (#1955)
meta-main	new	other	628e19018	[ci] add b200 runner (#1934)
meta-main	new	other	acb8c6d97	OSS cross-attention fwd+bwd kernels, benchmark & repro harness (#1950)
meta-main	new	other	857686596	[AutoWS] TaskIdPropagation: handle unstructured control flow (cf.cond_br) (#1951)
meta-main	new	other	640155ba8	[AutoWS][HSTU] reduce_dq: release outer-loaded k/v EMPTY only on last inner iter (#1952)
meta-main	new	other	4a23c1963	[TLX][HSTU] Port attn_bwd_ws_2kv (2-KV-block data-partitioned reduce_dq) (#1953)
meta-main	new	other	910ce4e40	[TLX][HSTU] Add BwdVariant.TLX_2KV + shared-KV bench integration (#1954)
meta-main	new	fix	41fbdb444	[triton][beta] [CI] Align llvm-build.yml with upstream #10358 (fix AlmaLinux numpy + clang 21.1.8 ICE) (#1958)
meta-main	new	amd	e4d12400e	[triton][beta] [AMD] Modulo scheduling Steps 4.7+4.8: warp-pipeline partition + s_setprio (#1960)
meta-main	new	fix	297f1202f	[triton][beta] [Cherry-pick] 'Fix make dev-install-llvm on macOS without lld (#10636)' (#1966)
meta-main	new	other	16dcf4e78	[ci] disable blackwell_attentions_mxfp8 on h100 and mi350 (#1965)
meta-main	new	bundle	e8260a8c8	[triton][beta] [Cherry-pick][BUNDLE] Cherry-pick 56 upstream(#9890 #9779 #9881 #9911 #9908 #9899 #9903 #9913 #9918 #9921 #9909 #9910 #9920 #9880 #9925 #9895 #9926 #9905 #9892 #9768 #9791 #9930 #9943 #9935 #9493 #9966 #9960 #9953 #9983 #9981 #9971... (#1956)
meta-main	new	other	d52e8e93e	[triton] Move launch.h to the nvidia backend dir (#1816)
meta-main	new	other	f4c21765f	[AutoWS] [CLC] Add support for CLC GEMM in Triton AutoWS (#1882)
meta-main	new	fix	8259b5ad9	[TritonNvidiaGPU] Fix 2-CTA TMEM verify crash (#1905)
meta-main	new	other	0b9086299	Add fundamental Gluon frontend CI coverage on B200 and MI350 (#1972)
meta-main	new	other	b47f67efb	[torchTLX] Rename TLX enablement knob value `default` -> `None` (#1967)
meta-main	new	bundle	9f609cfcb	[triton][beta] [Cherry-pick][BUNDLE] Cherry-pick 12 upstream(#9992 #10046 #10039 #9975 #10051 #9919 #10048 #10047 #10038 #10065 #10057 #10059) (#1981)
meta-main	new	other	9215502ad	Add auto-bisection + external-dep triage to nightly issue-filing (#1983)
meta-main	new	other	4ea10f6e5	sched2tlx: mark schedule_graph.json/ddg.json dumps as @generated (#1987)
meta-main	new	amd	c36fc2a74	[TLX][AMD] addmm+GLU: fuse bias+GLU epilogue with register-resident Y prefetch (#1963)
meta-main	new	other	79fce0178	[torchTLX] Add unit tests for templates and Inductor fusion (#1968)
meta-main	new	other	889490da2	[TritonGPU] NPOT elementwise lowering via modular LinearLayout (#1892)
meta-main	new	other	8f91ef011	[sched2tlx] move regression harness; add case5/case7 bench specs (#1939)
meta-main	new	bundle	81cb42793	[triton][beta] [Cherry-pick][BUNDLE] Beta backport bundle: OptimizeDescriptorEncoding + mxfp/matmul + GSan + DSL plugins (#9709 and 13 more) (#1985)
meta-main	new	other	fdd126bae	[Modulo Scheduling] Honest latency model, partition-aware cost model, and emitter capabilities to match (#1912) (#1912)
meta-main	new	other	ae960c0d6	[BE] [AutoWS] Refactor WarpSpecialization intra-pass declarations to a header (#1940)
meta-main	new	bundle	961212ade	[triton][beta] [Cherry-pick][BUNDLE] Cherry-pick 37 upstream(#10066 #10060 #10083 #9936 #10062 #10055 #10082 #10074 #10076 #10091 #10077 #10030 #10093 #10095 #10097 #10090 #10004 #10101 #10098 #9865 #10110 #10111 #10114 #10112 #9850 #10109 #10119 #10117 # (#2000)
meta-main	new	other	ed8a245e7	[AutoWS] Enable standard scheduling definition (#1885)
meta-main	new	fix	e75dd31fe	[AutoWS] Fix WSDataPartition scf.for slicing to keep results/yield 1:1 (#2002)
meta-main	new	fix	e8a7e28f8	Fix tritonbench blackwell_attentions CI (seq>=256; skip broken upstream FA2) (#2004)
meta-main	new	other	092678472	[triton][bitequiv] diverse realistic-Inductor kernel corpus (#1976)
meta-main	new	other	0782e714d	[triton][PR] [TLX] Add CuTe-style tlx.swizzled_layout(B, M, S) for swizzled shared (#1994)
meta-main	new	other	8be187601	[TLX] blackwell_gemm_ws: async tcgen05_commit epilogue signal to close the inter-tile MMA bubble (#2008)
meta-main	new	other	a695fe56f	[AutoWS][HSTU cross] Manual 2-KV reduce_dq kernel + compute fold (gated, dormant) (#2014)
meta-main	new	other	733773c78	[AutoWS][HSTU] Coalesce chained MMAv5 accumulators in OptimizeAccumulatorInit (#2015)
meta-main	new	other	993b34bcd	[ci] disable torchtlx on h100 (#2010)
meta-main	new	other	949aa3efa	[CI] Checkout linked TritonBench PR when meta-triton PR references it (#2011)
meta-main	new	other	766ba4303	[TLX] Lower storage-alias after layout propagation for 2-CTA TMEM (#1988)
meta-main	new	other	8b13d5a06	[triton] denoise.sh: add GB300 (1400W) and default unknown NVIDIA GPUs to rated power (#2023)
meta-main	new	other	9273a3524	[AutoWS] handleOperandD: support chained accumulator (shared opndD TMEM tile) (#2018)
meta-main	new	other	5d250cdda	[AutoWS][PSM] Group accumulator-chained MMAs into one data partition (#2019)
meta-main	new	other	63b28b73f	[AutoWS][CP] Collapse chained operand-D accumulator to one forward channel (#2020)
meta-main	new	other	bfd86bb22	[AutoWS][PSM] Co-locate reduce_dq store token-wait with its reduce (#2021)
meta-main	new	fix	187888830	[AutoWS][HSTU cross] test: manual 2-KV (autows_2kv) + tlx_2kv correctness coverage (#2022)
meta-main	new	other	82ce873ef	[ModuloSchedule] Add TRITON_MODULO_SELECT_VARIANT to lower a chosen partition variant (#2028)
meta-main	new	other	d40127f3f	[Modulo Scheduling] case8: multi-phase GEMM — first corpus case exercising cross-phase SMEM buffer reuse (#1998)
meta-main	new	other	5a183059e	[AutoWS] Skip terminators in reorderEpilogOps (#2006)
meta-main	new	other	8dcdcde51	[ptx-anneal] Relocate + rename triton compile_iq -> triton.magnon; delete third_party/compile_iq (#1979)
meta-main	new	other	0900afe83	[triton][beta] Build C dispatcher before it is read on the JITFunction.run path (#1973)
