# release=release/3.7.x	openai_frontier=f797708c0626e5f9840ca5b0a98790e2c7cb09ad	openai_head=f797708c0626e5f9840ca5b0a98790e2c7cb09ad	meta_frontier=2054eb494623fbd1622c6c3d1ba18236151b97e2	main_head=f4ce95721a17e303b6f2db96721515d53590d3be
#source	present	class	sha	subject
meta-main	new	other	53ab884d1	[ModuloSchedule] Epilogue subtiling + whole-nest warp-group unification (#2144)
meta-main	new	fix	bcfd5a4c4	[TLX GEMM] Fix split-K reduce kernel falling onto the slow launch path (drop redundant num_warps) (#2056)
meta-main	new	other	46837f473	[AutoWS] [BE] Unify do* signatures (#1947)
meta-main	new	other	e54f913a7	[BE] [AutoWS] WS-10: isolate test-only doMemoryPlanner config in a struct (#2036)
meta-main	new	other	67a9e4e7d	[BE] [AutoWS] Cleanup warp-group magic numbers (#2038)
meta-main	new	other	a78804555	[AutoWS] [BE] Refactor exiting WS into a common helper (#2039)
meta-main	new	other	0d35e590c	[CI] Isolate torchTLX from tritonbench and keep TLX CI jobs TLX-only (#2149)
meta-main	new	fix	2f3637c0d	[TLX] More efficient cluster sync (#2146) [tlx-test]
meta-main	new	other	11f95ea96	[triton][PR] bitequiv M2: evaluate_opt — optimization-pass evaluation framework (#1918)
meta-main	new	other	909da15c4	[Triton][auto-TMA][4/N] compose with autoWS -- recipe block_shape from final IR (#1982)
meta-main	new	other	3ce8d7663	[triton] benchmark_kernels: standalone runnable Triton kernel benchmark zoo (WIP) (#2046)
meta-main	new	other	4ecf1e00c	[triton][bitequiv] eval Suite 2: add strided-axis reductions that fire M2 (#2047)
meta-main	new	amd	6c4fc16a2	[triton][beta] [Cherry-pick] '[AMD] Add AMD LLVM kernel attributes option (#10367)' (#2152)
meta-main	new	fix	19a501b84	[tritonbench][flex_attention] torch_tlx_flex_attention provider + Blackwell TLX flex fixes (#2232)
meta-main	new	other	d501933c1	[triton][PR] [AutoWS] [BE] Unify "Post" vs non-"Post" channel duality (#2030)
meta-main	new	fix	b5fc32214	[TLX][AMD] Support pinning exact shared + offset layouts (MLIR + Python) (#2156) [tlx-test]
meta-main	new	amd	82b44af24	[TLX][AMD] Preserve tokenless async_wait counts in updateWaits (#2153)
meta-main	new	other	378be2ea2	[Triton][auto-TMA][4.2/N] enable box (block) dims > 256 via getTMABlockShape-clamped recipe (#2033)
meta-main	new	other	bafd3c71e	[triton][AutoWS] Use kAsyncTaskIdAttrName constant in WS detection walk (#2233)
meta-main	new	other	92ef49ec6	[ptx-anneal] Support ctas_per_cga clusters in the PTX-direct launch spec (#2230)
meta-main	new	other	b01c65c77	[TLX] Remove unnecessary mbarrier inval ops (#2151)
meta-main	new	amd	f98e84c55	[TLX][AMD] 8-wave a16w16 GEMM tutorial kernel (gfx950) (#2157) [tlx-test]
meta-main	new	other	58993c420	[triton][beta] Apply torchTLX shim in TritonBench CI (#2239)
meta-main	new	fix	1f4aef82f	[triton][tlx] Propagate & auto-release user-pinned register layouts (#2158) [tlx-test]
meta-main	new	other	7755f488c	[AutoWS][Docs] Memory planner plan-space search: design & plan (#2243)
meta-main	new	other	7360b5619	[AutoWS][NFC] Memory plan-space search subsystem (default off) (#2242)
meta-main	new	other	69bc9fbc4	[AutoWS] Deterministic TMEM reuse-candidate ordering in tryAllocate (#2241)
meta-main	new	other	f90e19ddc	[BE] [AutoWS] Enable skipped tests (#2235) [tlx-test]
meta-main	new	other	5951e3b1f	[triton][bitequiv] eval Suite 3: inner_tree option + weight-grad reduction (#2048)
meta-main	new	fix	e14539be9	[AutoWS] Optimize out single iteration while loops (#1886) [tlx-test]
meta-main	new	fix	7849c4590	[AutoWS] Support converting persistent while loop into persistent for loops automatically (#1893) [tlx-test]
meta-main	new	other	e2ae52a55	[AutoWS] Introduce AutoWS args for while loops (#1896)
meta-main	new	fix	3c10362ad	[TLX] Enable linear warp-specialization lowering (#2248)
meta-main	new	other	83b40e603	[TLX] Increase Blackwell GEMM pipeline overlap (#2249)
meta-main	new	amd	b758b39d4	[TLX][AMD] Add BLOCK_N=256 warp-pipe addmm configs (gfx950) (#2247)
meta-main	new	other	62b8b94ba	[Triton] [TLX] Add support for 256 bit loads with proper alignment. (#2150)
meta-main	new	other	1e53d50a1	[TLX] blackwell_gemm_ws 2-CTA: launch/index micro-optimizations
meta-main	new	bundle	8c65c77f5	[triton][beta] [Cherry-pick][BUNDLE] tensordesc migration + TMA/tcgen05 dependents (#9851 #9984 #9792 #9941 #9987 #9989 #10014 ...) (#2234)
meta-main	new	other	b33c6b39d	[AutoWS] Support data partitioning on reused linear layouts (#2007)
meta-main	new	fix	1aae1e372	[TritonGPU] Fix NPOT crash in ensureLayoutNotSmallerThan on modular layouts (#2237)
meta-main	new	plumbing	34e051e58	[nightly] fbtriton nightly dev-wheel pipeline (#2244)
meta-main	new	other	129ddf39c	[TLX] Use CLC scheduling for Blackwell 2-CTA GEMM (#2251)
meta-main	new	other	7dd6a5119	[TLX] Add async-task mbarrier suspend hints on Blackwell (#2256)
meta-main	new	plumbing	b733302ff	[magnon] Version-tag the ACF store by ptxas version (#2257)
meta-main	new	other	7b8f66c82	[sched2tlx] Autotune hand-written reference kernels over buffer depths only (#2266)
meta-main	new	amd	ceef6d08d	[TLX][AMD][gfx950] a16w16 8-wave GEMM: auto split-K for skinny shapes (#2269)
meta-main	new	other	80f4e1375	Harden TLX GEMM perf harness measurement methodology (#2258)
meta-main	new	other	db84690f8	[TLX] Combine A/B full barriers in Blackwell GEMM (#2275)
meta-main	new	other	d030a5d8e	[sched2tlx] Strip the perf harness to a single compare subcommand (#2147)
meta-main	new	fix	37de88655	[triton][AutoWS][Debugging] debug_helper: add CUTracer data-race + deadlock subagents (#1932)
meta-main	new	other	e9e84e901	[triton][AutoWS][Debugging] debug_helper: GPU-aware scheduling for runtime investigations (#1935)
meta-main	new	other	bda485ccf	[Modulo Scheduling] Data partitioning: A.5 candidate surface, occupancy de-bias, auto factor search (#1916)
meta-main	new	amd	c127357ac	[TLX][AMD] Split-K for the warp-pipe addmm template (Inductor E2E) (#2273)
meta-main	new	fix	b13978219	[ci] use the correct integration test workflow id (#2280)
meta-main	new	amd	61c4bd205	[TLX][AMD] Accelerate page-16 paged decode with 64-token tile aggregation (#2281)
meta-main	new	fix	0cf7288cc	[AutoWS] Fix tensor descriptor syntax in shared layout test (#2283)
meta-main	new	fix	511ef5116	[TritonNvidiaGPU] Fix build break on DescriptorReduceKind::NONE (#2270)
meta-main	new	other	996439959	[AutoWS] [TMA-Multicast] [1/5] Add Design for Triton TMA-Multicast Support (#2263)
meta-main	new	fix	095932643	[TLX] Add final layout equivalence assertions (#2286) [tlx-test]
meta-main	new	amd	7cc55d502	[TLX][AMD] Pipeline page-64 decode and tune splits (#2288)
meta-main	new	other	dead0ea78	[AutoWS] [TMA-Multicast] [2/5] Add frontend support for tma-multicast in Triton (#2262)
meta-main	new	other	df365a9f8	[AutoWS] [CLC] [Tile-Scheduler] Support Multi-CTA in CLC (#2284)
meta-main	new	other	0529a765a	[TLX][Blackwell GEMM WS] Allow 2-CTA configs for M>>N shapes in the autotune pruner (#2294)
meta-main	new	fix	f986aa96e	[triton][beta][BUNDLE] Backport 56 upstream PRs with #10855/#10169 repairs (#2276) [tlx-test]
meta-main	new	other	957bd5245	[AutoWS][NFC] Extract shared dependsThroughMemory; planner delegates to it (#2295)
meta-main	new	other	4907eab7f	[TLX] 2-CTA Blackwell gemm without cta barrier (#2291)
meta-main	new	other	347231791	[AutoWS] Reuse-chain dep-walk: make hasDependencyChain memory-aware (#2296)
meta-main	new	other	c022e0acb	[AutoWS] [Isolation] Add a config to disable TMA store wait pipelining (#2279)
meta-main	new	other	5c723bcde	[AutoWS][NFC][test] LIT for reuse-group decisions and the getRootBuffer subview-climb (#2297)
meta-main	new	amd	afc396643	[AMD][gfx950][TLX] a16w16: 128x128 tile for thin-N shapes (fill-based selection) (#2289)
meta-main	new	amd	199440921	[TLX][AMD] Optimize paged decode for MI350: wide async tiles + tuned split-K (#2306)
meta-main	new	other	32f90e857	[ci] add release testing yaml (#2303)
meta-main	new	other	4ffaeea16	[triton][bitequiv] M3: TTGIR checker — split enable_fp_fusion (fma contraction) (#2315)
meta-main	new	other	1326f5f6e	[triton][bitequiv] M3: TTGIR checker — real warp_group_dot accumulation signature (#2316)
meta-main	new	other	b2fa23df2	[TritonGPU] NPOT layout support: verifier dot/MMA allow-set + modular convert/view remap (#1901)
meta-main	new	fix	b1236d237	[AutoWS] Fix use-after-free on reuse-folded channel endpoints (#2298)
meta-main	new	other	3188797dc	OSS port of hammer HSTU self-attention (triton + tlx) + tritonbench bench + autoWS/DP experiment (#2300)
meta-main	new	fix	803682f81	[AutoWS] Compiler fixes for warp-specialized backward (#2301)
meta-main	new	other	8176cccdc	[triton][bitequiv] M2: reduction-layout optimization pass (#2312)
meta-main	new	other	0322e308b	[triton][bitequiv] Forward interpreter Phase 0: scaffold + within-warp reduction (#2313)
meta-main	new	other	a435c2f4d	[Triton] Default-on C dispatcher/cache + TRITON_CACHE_STATS dispatch observability (#2238)
meta-main	new	amd	675edd49d	[TLX][AMD] Handle small and unaligned FA cluster blocks (#2304)
meta-main	new	other	ef4702d94	[TritonGPU] NPOT-aware coalesce blocked-encoding factorization (#2320)
meta-main	new	plumbing	b01e90f3d	[nightly] file an issue when the wheel build/publish errors out (#2287)
meta-main	new	fix	b6bbb1161	[AMD][gfx950][TLX] a16w16: keep the FP16 epilogue store coalesced (dwordx4) (#2290) [tlx-test]
meta-main	new	amd	aaf280b18	[AMD][gfx950][TLX] a16w16: reduce-aware, non-pow2 split-K tile selection (#2329)
meta-main	new	fix	94c634027	[TLX][AMD] Repro: partial-K warp-pipe GEMM fails to legalize on gfx950 (#2285) [tlx-test]
meta-main	new	other	35a1f082c	[cmake] Build fbtriton against the default (ubuntu-x64) prebuilt LLVM on an older-libstdc++ host (#1959)
meta-main	new	bundle	0a84efea1	[triton][beta] [Cherry-pick][BUNDLE] Cherry-pick 63 upstream(#9704 #10317 #10310 #10305 #10318 #10314 #10295 #10308 #10322 #10319 #10127 #10324 #10326 #10298 #10333 #10296 #10246 #10332 #10335 #10339 #10184 #10340 #10316 #10321 #10343 #10302... (#2334)
meta-main	new	fix	2dd966b2b	[AutoWS] [Tile-Schedule] Propagate non-persistent warpspec information (#2051) (#2051) [tlx-test]
meta-main	new	fix	42ce881f7	[AutoWS] [Tile-Scheduler] Update testing to verify support for non-persistent and static persistent fully with the while format (#2145) (#2145) [tlx-test]
meta-main	new	other	12902a397	[AutoWS] [Tile-Scheduler] Support partition scheduling with while operations (#2236) (#2236)
meta-main	new	other	64a37e7e0	[AutoWS] [Tile-Scheduler] Add explicit testing for validating the atomic broadcast path with AutoWS (#2264) (#2264)
meta-main	new	fix	f600e9cd0	[AutoWS] [Tile-Scheduler] Fix SWP breakages caused by while loops (#2265) (#2265) [tlx-test]
meta-main	new	fix	a551e8f66	[AutoWS] [Tile-Scheduler] Fix while migration for CLC handling (#2268) (#2268) [tlx-test]
meta-main	new	plumbing	30cb68d4a	[TritonGPU] NPOT SMEM/MMA allocation, swizzling, and conversion foundation (#1900)
meta-main	new	plumbing	f46536fac	[TritonGPU] Use modular identities for NPOT layout conversion (#2339)
meta-main	new	fix	7d742fb98	[TLX][AMD] warp-pipe addmm: "sync-load the tail" fix for unaligned K (+ async_load repro tests) (#2346) [tlx-test]
meta-main	new	other	409b9cffb	[ModuloSchedule] Redesign SMEM buffer-depth computation around full load-to-consume occupancy (#2343)
meta-main	new	amd	5712dc2f8	[TLX][AMD] Improve f16 gemm benchmark harness (#2337) [tlx-test]
